               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076221,            0.041285,            0.048717,              0.6082,             0.26582,             0.21924,             0.09664,            0.051809,            0.031037,            0.040293,            0.070229,           0.0033079,           0.0033079
                   1,            0.057274,            0.028977,            0.031826,              0.6695,             0.34685,             0.30855,             0.14322,            0.052086,             0.02627,            0.028221,            0.039966,           0.0063782,           0.0063782
                   2,            0.053658,             0.02577,            0.023546,             0.75392,             0.33932,             0.35803,             0.18722,            0.047112,            0.025695,            0.021659,            0.009439,           0.0091846,           0.0091846
                   3,            0.046773,             0.02529,            0.019511,             0.86376,             0.41497,             0.49119,             0.28483,             0.03581,            0.024975,            0.018503,            0.008812,            0.008812,            0.008812
                   4,            0.040706,            0.023776,            0.017051,              0.8973,             0.39836,             0.50003,             0.30507,            0.031885,            0.026167,            0.019036,            0.008812,            0.008812,            0.008812
                   5,            0.036701,            0.023211,             0.01544,             0.89844,             0.42532,             0.54202,             0.33931,            0.031915,            0.024862,            0.016985,            0.008416,            0.008416,            0.008416
                   6,             0.03481,            0.023261,            0.013976,             0.77487,             0.52471,             0.58849,             0.37392,            0.032502,            0.025678,            0.014767,             0.00802,             0.00802,             0.00802
                   7,            0.033186,            0.022164,             0.01238,             0.59145,             0.62513,             0.63632,             0.40786,            0.029427,            0.025586,            0.014952,            0.007624,            0.007624,            0.007624
                   8,            0.032153,            0.022078,            0.011673,             0.58134,             0.62653,             0.63168,             0.40831,            0.029546,            0.025191,             0.01391,            0.007228,            0.007228,            0.007228
                   9,            0.030682,            0.021687,            0.011064,              0.6229,             0.66606,             0.65338,             0.43784,             0.02847,            0.024933,            0.013109,            0.006832,            0.006832,            0.006832
                  10,            0.030086,            0.021175,            0.010452,             0.69856,             0.66537,             0.66172,             0.43614,             0.02893,             0.02537,            0.012661,            0.006436,            0.006436,            0.006436
                  11,            0.029297,            0.020824,           0.0094699,             0.58196,             0.66217,             0.64322,              0.4361,             0.02786,            0.025085,            0.013846,             0.00604,             0.00604,             0.00604
                  12,            0.028423,            0.020595,           0.0089261,             0.57157,             0.70171,             0.65518,             0.44631,            0.027593,            0.025991,            0.012174,            0.005644,            0.005644,            0.005644
                  13,            0.027506,            0.020833,           0.0082136,             0.59184,             0.70425,             0.68106,             0.45201,            0.027914,            0.024921,            0.012707,            0.005248,            0.005248,            0.005248
                  14,            0.027069,            0.020498,           0.0081794,             0.59669,             0.67476,             0.68255,              0.4661,            0.027266,            0.024924,            0.012422,            0.004852,            0.004852,            0.004852
                  15,            0.026441,            0.019809,           0.0079037,             0.61939,             0.68484,             0.68258,             0.46821,            0.026598,            0.025803,            0.011559,            0.004456,            0.004456,            0.004456
                  16,             0.02568,             0.01975,            0.007334,              0.6651,             0.67909,             0.72189,             0.50466,            0.026026,            0.025642,            0.011936,             0.00406,             0.00406,             0.00406
                  17,            0.025241,            0.019463,           0.0073913,             0.70547,             0.68444,             0.70652,             0.49432,            0.026112,            0.026519,            0.011908,            0.003664,            0.003664,            0.003664
                  18,            0.024451,            0.019572,           0.0069695,             0.74455,             0.65864,             0.71436,             0.49706,            0.025804,            0.025393,            0.011604,            0.003268,            0.003268,            0.003268
                  19,            0.023729,            0.018683,           0.0065339,             0.81888,             0.63554,             0.72169,             0.51192,            0.025781,            0.026643,            0.011514,            0.002872,            0.002872,            0.002872
                  20,            0.023241,            0.018566,           0.0063849,             0.81251,             0.64887,             0.73937,             0.51833,            0.025791,             0.02665,            0.011063,            0.002476,            0.002476,            0.002476
                  21,            0.022686,              0.0185,           0.0057186,             0.73499,             0.70181,             0.72142,             0.50344,            0.025769,            0.026634,            0.010852,             0.00208,             0.00208,             0.00208
                  22,            0.022438,             0.01795,           0.0060514,             0.79507,             0.67618,             0.74211,             0.53013,            0.025566,            0.026847,            0.011406,            0.001684,            0.001684,            0.001684
                  23,            0.022104,            0.018498,           0.0054006,             0.77363,             0.68406,             0.74473,             0.53116,            0.025204,            0.026022,            0.010975,            0.001288,            0.001288,            0.001288
                  24,             0.02136,            0.017773,            0.005163,             0.79857,             0.67645,              0.7549,             0.53627,            0.025162,            0.026107,            0.010504,            0.000892,            0.000892,            0.000892
