                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5024,                  1.205,                 1.1666,                 0.7274,                0.38781,                0.43292,                0.21889,                 1.4785,                0.91233,                 1.1341,                0.07002,              0.0033311,              0.0033311
                      1,                  1.459,                0.94176,                 1.1337,                0.69986,                0.45257,                0.48206,                0.24218,                 1.4637,                 1.0362,                 1.1382,               0.039756,              0.0064005,              0.0064005
                      2,                 1.4812,                 0.9668,                 1.1475,                0.60753,                0.42086,                0.47814,                0.23635,                 1.4683,                 1.0289,                  1.135,              0.0092283,              0.0092059,              0.0092059
                      3,                 1.4919,                0.97425,                 1.1602,                0.58711,                0.46749,                0.50551,                0.25957,                 1.4514,                0.95212,                 1.1439,               0.008812,               0.008812,               0.008812
                      4,                 1.4592,                0.92342,                 1.1448,                0.68933,                0.48521,                0.53136,                0.27625,                 1.4244,                0.89162,                 1.1232,               0.008812,               0.008812,               0.008812
                      5,                 1.4364,                0.88922,                 1.1333,                0.63475,                0.50481,                0.56248,                0.29578,                 1.4072,                0.87076,                 1.1166,               0.008416,               0.008416,               0.008416
                      6,                 1.4102,                0.86364,                 1.1236,                0.74573,                0.52093,                0.59133,                0.31346,                   1.39,                0.84188,                 1.1123,                0.00802,                0.00802,                0.00802
                      7,                 1.3844,                0.83485,                 1.1119,                0.77433,                0.55456,                0.64687,                0.34173,                 1.3676,                0.79097,                  1.103,               0.007624,               0.007624,               0.007624
                      8,                 1.3687,                0.81484,                 1.1022,                0.78018,                0.55134,                0.63072,                0.34075,                 1.3605,                0.76826,                 1.0882,               0.007228,               0.007228,               0.007228
                      9,                  1.349,                0.79263,                 1.0941,                0.78917,                0.56551,                0.64116,                0.34996,                 1.3406,                0.76874,                 1.0836,               0.006832,               0.006832,               0.006832
                     10,                 1.3364,                  0.779,                 1.0878,                0.80362,                0.58309,                0.65182,                0.35543,                 1.3243,                0.74782,                 1.0756,               0.006436,               0.006436,               0.006436
                     11,                  1.321,                0.76216,                 1.0842,                0.79996,                0.58657,                0.67113,                0.37075,                 1.3041,                0.74263,                 1.0717,                0.00604,                0.00604,                0.00604
                     12,                 1.3072,                0.74825,                 1.0755,                0.83371,                0.59537,                0.68966,                0.38204,                 1.2944,                0.71028,                 1.0634,               0.005644,               0.005644,               0.005644
                     13,                 1.2896,                0.73306,                 1.0677,                0.83657,                0.61028,                0.68546,                0.38594,                 1.2875,                0.70305,                 1.0594,               0.005248,               0.005248,               0.005248
                     14,                 1.2756,                0.71818,                 1.0628,                0.81505,                0.61711,                0.69431,                0.39418,                 1.2744,                0.68639,                 1.0522,               0.004852,               0.004852,               0.004852
                     15,                 1.2615,                0.70444,                 1.0583,                0.83078,                0.62103,                0.69566,                0.39869,                  1.261,                0.64866,                 1.0498,               0.004456,               0.004456,               0.004456
                     16,                 1.2476,                0.69308,                 1.0502,                0.82615,                0.62677,                0.70652,                0.40687,                  1.245,                0.63863,                 1.0428,                0.00406,                0.00406,                0.00406
                     17,                 1.2333,                0.68125,                 1.0448,                0.83491,                0.62913,                0.72134,                0.41279,                 1.2391,                0.63298,                 1.0406,               0.003664,               0.003664,               0.003664
                     18,                 1.2194,                0.66967,                 1.0388,                0.84589,                0.63671,                0.73665,                0.42228,                 1.2264,                0.62425,                 1.0348,               0.003268,               0.003268,               0.003268
                     19,                 1.2059,                0.65646,                 1.0338,                0.85398,                0.63597,                0.72255,                0.42326,                 1.2164,                0.62547,                 1.0278,               0.002872,               0.002872,               0.002872
                     20,                 1.1965,                0.64793,                 1.0306,                0.84702,                0.64515,                0.71674,                0.42609,                 1.2088,                0.61349,                 1.0262,               0.002476,               0.002476,               0.002476
                     21,                 1.1786,                0.63328,                 1.0264,                0.85301,                 0.6412,                0.72866,                0.43113,                 1.1995,                0.59682,                 1.0232,                0.00208,                0.00208,                0.00208
                     22,                 1.1642,                0.62539,                 1.0176,                0.86756,                0.63951,                0.74042,                0.43922,                 1.1968,                0.59115,                 1.0209,               0.001684,               0.001684,               0.001684
                     23,                 1.1508,                0.61139,                 1.0154,                0.86767,                0.64527,                 0.7513,                0.44609,                 1.1904,                 0.5829,                 1.0189,               0.001288,               0.001288,               0.001288
                     24,                 1.1383,                 0.6029,                 1.0085,                0.85777,                0.65889,                0.75382,                0.44863,                  1.187,                 0.5772,                 1.0164,               0.000892,               0.000892,               0.000892
